PHYS_GROUP,REQUEST,PROJECT,DESCRIPTION,TASKID,KEYWORDS,TASKNAME,TASK_STATUS,CONTAINER_TYPE,CONTAINER_NAME,TAG_NAME,TRF_NAME,TRF_RELEASE,CAMPAIGN,SUBCAMPAIGN
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803489,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9170,done,AOD,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9170/,r9170,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,11133,mc16_13TeV,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),10803489,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar",mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.e3698_s2995_r9170,done,DAOD_IDTRKVALID,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9170/,r9170,Reco_tf.py,21.0.11,MC16,MC16a
IDTR,8892,mc16_valid,MC16 ttbar HITs for Release 21 Validation,9359580,,mc16_valid.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.simul.e4993_s2958,done,HITS,mc16_valid.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.simul.HITS.e4993_s2958/,s2958,Sim_tf.py,20.3.7.2,MC16,MC16a
IDTR,8430,mc16_valid,ttbar fully hadronic MC for the validation of Pixel simulation for mc16,9063932,,mc16_valid.410007.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad.recon.e4135_s2608_s2183_r8241,done,AOD,mc16_valid.410007.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad.recon.AOD.e4135_s2608_s2183_r8241/,r8241,Reco_tf.py,20.7.6.5,MC16,MC16a
IDTR,8430,mc16_valid,ttbar fully hadronic MC for the validation of Pixel simulation for mc16,9063932,,mc16_valid.410007.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad.recon.e4135_s2608_s2183_r8241,done,DAOD_IDTRKVALID,mc16_valid.410007.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad.recon.DAOD_IDTRKVALID.e4135_s2608_s2183_r8241/,r8241,Reco_tf.py,20.7.6.5,MC16,MC16a
IDTR,8430,mc16_valid,ttbar fully hadronic MC for the validation of Pixel simulation for mc16,9063932,,mc16_valid.410007.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad.recon.e4135_s2608_s2183_r8241,done,ESD,mc16_valid.410007.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad.recon.ESD.e4135_s2608_s2183_r8241/,r8241,Reco_tf.py,20.7.6.5,MC16,MC16a
JETM,9541,mc16_13TeV,MC16a PowhegZmumu,10419499,,mc16_13TeV.361107.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu.recon.e3601_s2997_r9001,finished,AOD,mc16_13TeV.361107.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Zmumu.recon.AOD.e3601_s2997_r9001/,r9001,Reco_tf.py,21.0.13,MC16,MC16a
JETM,9600,mc16_13TeV,MC16a single particle pi with calibrations hits,10220438,,mc16_13TeV.428002.ParticleGun_single_piminus_logE0p2to2000.recon.e3501_s3007_r8917,done,AOD,mc16_13TeV.428002.ParticleGun_single_piminus_logE0p2to2000.recon.AOD.e3501_s3007_r8917/,r8917,Reco_tf.py,21.0.11,MC16,MC16a
JETM,9600,mc16_13TeV,MC16a single particle pi with calibrations hits,10220438,,mc16_13TeV.428002.ParticleGun_single_piminus_logE0p2to2000.recon.e3501_s3007_r8917,done,ESD,mc16_13TeV.428002.ParticleGun_single_piminus_logE0p2to2000.recon.ESD.e3501_s3007_r8917/,r8917,Reco_tf.py,21.0.11,MC16,MC16a
JETM,9600,mc16_13TeV,MC16a single particle pi with calibrations hits,10680142,,mc16_13TeV.428001.ParticleGun_single_piplus_logE0p2to2000.recon.e3501_s3007_r9099,done,AOD,mc16_13TeV.428001.ParticleGun_single_piplus_logE0p2to2000.recon.AOD.e3501_s3007_r9099/,r9099,Reco_tf.py,21.0.11,MC16,MC16a
JETM,9600,mc16_13TeV,MC16a single particle pi with calibrations hits,10680142,,mc16_13TeV.428001.ParticleGun_single_piplus_logE0p2to2000.recon.e3501_s3007_r9099,done,ESD,mc16_13TeV.428001.ParticleGun_single_piplus_logE0p2to2000.recon.ESD.e3501_s3007_r9099/,r9099,Reco_tf.py,21.0.11,MC16,MC16a
