CAMPAIGN,SUBCAMPAING,PHYS_GROUP,PROJECT,STEP,REQUEST,STATUS,TASK_ID,TASKNAME,HASHTAG_LIST,EVENTS_TOTAL,T_EVENTS_REQUESTED,T_STAMP
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,done,10863344,mc16_13TeV.361024.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",4499500,0,2017-06-29 13:15:18.874295
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,done,10863356,mc16_13TeV.361025.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",4500000,0,2017-06-29 13:15:18.875881
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,done,10863368,mc16_13TeV.361026.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6W.merge.e3569_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",1793000,0,2017-06-29 13:15:18.877143
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844230,mc16_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 10:14:31.551166
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844243,mc16_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 10:14:31.560133
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844261,mc16_13TeV.361024.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 10:14:31.566407
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844274,mc16_13TeV.361025.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 08:36:43.126059
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844286,mc16_13TeV.361026.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6W.merge.e3569_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 10:14:31.573437
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844305,mc16_13TeV.361027.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-01 17:16:43.939632
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844318,mc16_13TeV.361028.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8W.merge.e3569_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 10:14:31.580276
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844343,mc16_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 10:14:31.588939
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844363,mc16_13TeV.361024.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-01 19:17:12.750206
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10844382,mc16_13TeV.361025.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 10:14:31.597431
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10851133,mc16_13TeV.361026.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6W.merge.e3569_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 10:14:31.921102
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10863198,mc16_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-02 14:39:22.372780
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10863211,mc16_13TeV.361027.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-06 11:14:54.735610
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,aborted,10863307,mc16_13TeV.361027.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W.merge.e3668_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",0,0,2017-03-06 11:14:54.750871
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,finished,10863222,mc16_13TeV.361028.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8W.merge.e3569_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",1790000,0,2017-06-29 13:15:18.861861
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11131,finished,10863320,mc16_13TeV.361028.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8W.merge.e3569_s2997_r9186_r8906,"Pythia8EvtGen,QCD,SM,jets,mc16campaign",199000,0,2017-06-29 13:15:18.868193
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11133,failed,10803492,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9170_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",0,0,2017-06-28 09:14:06.411558
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11133,aborted,10803460,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9165_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",0,0,2017-03-08 12:16:49.258366
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11133,aborted,10803467,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9166_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",0,0,2017-03-08 12:16:49.260757
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11133,aborted,10803473,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9167_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",0,0,2017-03-08 12:16:49.264544
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11133,aborted,10803479,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9168_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",0,0,2017-03-08 12:16:49.266912
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11133,aborted,10803486,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9169_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",0,0,2017-03-08 12:16:49.270466
mc16,mc16a,IDTR,mc16_13TeV,Rec Merge,11133,aborted,10893612,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.e3698_s2995_r9170_r8906,"PowhegPythiaEvtGen,SM,lepton,mc16campaign,top,ttbar",0,0,2017-03-08 12:16:51.720447
mc16,mc16a,MCGN,mc15_13TeV,Evgen,10989,done,10704665,mc15_13TeV.424016.ParticleGun_single_mu_Pt200to2000.evgen.e5771,"ParticleGun,mc16campaign,muon,singleParticle",3000000,3000000,2017-06-28 09:14:04.388232
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11194900,mc16_13TeV.301051.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2250M2500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",235000,0,2017-06-29 13:15:24.885064
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11036728,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.recon.e3649_s3126_s3136_r9280,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-03-26 15:14:07.648803
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11036730,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.recon.e3649_s3126_s3136_r9280,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",299800,0,2017-06-29 13:15:21.601700
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189681,mc16_13TeV.301040.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_120M180.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-29 13:15:24.614801
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189685,mc16_13TeV.301041.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_180M250.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-29 13:15:24.615481
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189689,mc16_13TeV.301042.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_250M400.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-29 13:15:24.615865
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189694,mc16_13TeV.301043.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_400M600.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-29 13:15:24.616260
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189698,mc16_13TeV.301044.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_600M800.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-29 13:15:24.616996
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189702,mc16_13TeV.301045.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_800M1000.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-29 13:15:24.617500
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189706,mc16_13TeV.301046.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1000M1250.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-29 13:15:24.617913
mc16,mc16a,MCGN,mc16_13TeV,Reco,11034,done,11189711,mc16_13TeV.301047.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_1250M1500.recon.e3649_s3126_r9364,"2tau,MC16a_CP,NLO,PowhegPythia8EvtGen,SM,Z,drellYan,electroweak",150000,0,2017-06-29 13:15:24.618359
