REQUEST_ID,DESCRIPTION,REFERENCE_LINK,PHYS_GROUP,ENERGY_GEV,PROJECT,STEP,TASKID,STATUS,TIMESTAMP,CONTAINER_NAME,CONTAINER_TYPE,HASHTAG_LIST
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10730635,done,2017-06-23 16:11:31.628416,mc16_13TeV.364122.Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV140_280_BFilter.simul.HITS.e5299_s3126/,HITS,"2electron, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11049,MC16a sheet 3,,MCGN,13000,mc16_13TeV,simul,10730654,done,2017-06-23 16:11:31.641044,mc16_13TeV.427032.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZRW2_mufilter.simul.log.e3968_s3126/,log,"MC16a_CP, MC16a_HPC, Pythia8EvtGen, QCD, SM, jets, mc16campaign, multijet"
11049,MC16a sheet 3,,MCGN,13000,mc16_13TeV,simul,10730659,done,2017-06-23 16:11:31.643605,mc16_13TeV.427033.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZRW3_mufilter.simul.HITS.e3968_s3126/,HITS,"MC16a_CP, MC16a_HPC, Pythia8EvtGen, QCD, SM, jets, mc16campaign, multijet"
11049,MC16a sheet 3,,MCGN,13000,mc16_13TeV,simul,10730662,done,2017-06-23 16:11:31.645006,mc16_13TeV.427034.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZRW4_mufilter.simul.log.e3968_s3126/,log,"MC16a_CP, MC16a_HPC, Pythia8EvtGen, QCD, SM, jets, mc16campaign, multijet"
11051,MC16a sheet 5,,MCGN,13000,mc16_13TeV,simul,10730718,done,2017-06-23 16:11:31.670004,mc16_13TeV.364188.Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_CFilterBVeto.simul.HITS.e5340_s3126/,HITS,"MC16a_CP, NLO, SM, Sherpa, W, Wjets, jets, mc16campaign, tau"
11050,MC16a sheet 4,,MCGN,13000,mc16_13TeV,simul,10732708,done,2017-06-23 16:11:31.730948,mc16_13TeV.364119.Sherpa_221_NNPDF30NNLO_Zee_MAXHTPTV70_140_BFilter.simul.log.e5299_s3126/,log,"2electron, MC16a_CP, NLO, SM, Sherpa, Z, Zjets, jets, mc16campaign"
11000,ttbar MC16 samples with <mu>=60 and extra threshold points,https://its.cern.ch/jira/browse/ATLMCPROD-4346,IDTR,13000,mc16_13TeV,merge,10734492,obsolete,2017-02-23 03:14:49.491919,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.AOD.e3698_s2995_r9121_r8906/,AOD,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar"
11000,ttbar MC16 samples with <mu>=60 and extra threshold points,https://its.cern.ch/jira/browse/ATLMCPROD-4346,IDTR,13000,mc16_13TeV,merge,10746485,obsolete,2017-02-23 03:14:49.838999,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.merge.AOD.e3698_s2995_r9125_r8906/,AOD,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar"
11107,A new digi plus reco sample T for trigger group,https://its.cern.ch/jira/browse/ATLMCPROD-4331,TRIG,13000,mc16_13TeV,simul,10796306,done,2017-02-24 12:39:54.171294,mc16_13TeV.361021.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1W.simul.HITS.e4397_s2997/,HITS,"Pythia8EvtGen, QCD, SM, jets, mc16campaign"
11107,A new digi plus reco sample T for trigger group,https://its.cern.ch/jira/browse/ATLMCPROD-4331,TRIG,13000,mc16_13TeV,simul,10796306,done,2017-02-24 12:39:54.171294,mc16_13TeV.361021.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1W.simul.log.e4397_s2997/,log,"Pythia8EvtGen, QCD, SM, jets, mc16campaign"
11133,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),https://its.cern.ch/jira/browse/ATLMCPROD-4380,IDTR,13000,mc16_13TeV,recon,10803464,done,2017-03-05 20:15:23.940252,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.DAOD_IDTRKVALID.e3698_s2995_r9166/,DAOD_IDTRKVALID,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar"
11133,ttbar samples with ID Special Test Configurations for Run 3 data taking (<mu>=80),https://its.cern.ch/jira/browse/ATLMCPROD-4380,IDTR,13000,mc16_13TeV,recon,10803464,done,2017-03-05 20:15:23.940252,mc16_13TeV.410000.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad.recon.AOD.e3698_s2995_r9166/,AOD,"PowhegPythiaEvtGen, SM, lepton, mc16campaign, top, ttbar"
11107,A new digi plus reco sample T for trigger group,https://its.cern.ch/jira/browse/ATLMCPROD-4331,TRIG,13000,mc16_13TeV,recon,10836761,obsolete,2017-03-04 02:36:09.623151,mc16_13TeV.302070.Pythia8EvtGen_A14NNPDF23LO_WmuHNL50_10G_lt100dd.recon.RDO.e4026_s2997_r9174/,RDO,"Pythia8EvtGen, W, electroweak, exotic, mc16campaign"
11107,A new digi plus reco sample T for trigger group,https://its.cern.ch/jira/browse/ATLMCPROD-4331,TRIG,13000,mc16_13TeV,recon,10836779,obsolete,2017-03-04 02:36:12.644985,mc16_13TeV.341445.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_Zllgam.recon.log.e3900_s2997_r9174/,log,"2lepton, Higgs, PowhegPythia8EvtGen, SM, SMHiggs, mH125, mc16campaign, photon"
11107,A new digi plus reco sample T for trigger group,https://its.cern.ch/jira/browse/ATLMCPROD-4331,TRIG,13000,mc16_13TeV,recon,10836809,obsolete,2017-03-04 02:36:17.385549,mc16_13TeV.341091.PowhegPythia8EvtGen_CT10_AZNLO_ZH125J_MINLO_vevebb_VpT.recon.ESD.e4397_s2997_r9174/,ESD,"Higgs, PowhegPythia8EvtGen, SM, SMHiggs, ZHiggs, mH125, mc16campaign"
11107,A new digi plus reco sample T for trigger group,https://its.cern.ch/jira/browse/ATLMCPROD-4331,TRIG,13000,mc16_13TeV,recon,10836813,obsolete,2017-03-04 02:36:18.835191,mc16_13TeV.341441.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH200W1_tautaulh.recon.ESD.e3943_s2997_r9174/,ESD,"2tau, BSMHiggs, PowhegPythia8EvtGen, mc16campaign"
11107,A new digi plus reco sample T for trigger group,https://its.cern.ch/jira/browse/ATLMCPROD-4331,TRIG,13000,mc16_13TeV,merge,10836815,obsolete,2017-03-04 02:36:19.508480,mc16_13TeV.341441.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH200W1_tautaulh.merge.log.e3943_s2997_r9174_r9128/,log,"2tau, BSMHiggs, PowhegPythia8EvtGen, mc16campaign"
11107,A new digi plus reco sample T for trigger group,https://its.cern.ch/jira/browse/ATLMCPROD-4331,TRIG,13000,mc16_13TeV,merge,10836815,obsolete,2017-03-04 02:36:19.508480,mc16_13TeV.341441.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH200W1_tautaulh.merge.AOD.e3943_s2997_r9174_r9128/,AOD,"2tau, BSMHiggs, PowhegPythia8EvtGen, mc16campaign"
